gene_name,sample_name,season,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
OXA-504,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005734,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,7,ARO:3005734|ID:4839|Name:OXA-504|NCBI:NG_049782.1,50.57,1.11,Aeromonas caviae (chromosome): 2; ,6755272,2.7,0.43
OXA-543,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005318,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,31.5217,100,Unknown taxonomy (chromosome or plasmid),,,,,,6755272,0,0
OXA-57,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3001771,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.963,100,,,,,,,6755272,0,0
OXA-643,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005863,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,25,ARO:3005863|ID:4968|Name:OXA-643|NCBI:NG_065429.1,88.73,3.48,Acinetobacter johnsonii (chromosome): 19; ,6755272,9.65,1.34
OXA-644,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005864,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,20,ARO:3005864|ID:4969|Name:OXA-644|NCBI:NG_065430.1,100,3.32,Acinetobacter johnsonii (chromosome): 14; ,6755272,7.72,1.28
OXA-645,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005865,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3005865|ID:4970|Name:OXA-645|NCBI:NG_065431.1,39.03,0.61,Acinetobacter johnsonii (chromosome): 4; ,6755272,1.54,0.24
OXA-646,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005339,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,ARO:3005339|ID:4071|Name:OXA-646|NCBI:NG_065432.1,23.1,0.23,,6755272,0.77,0.09
OXA-650,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005866,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,11,ARO:3005866|ID:4971|Name:OXA-650|NCBI:NG_065435.1,71.76,1.99,Acinetobacter johnsonii (chromosome): 8; ,6755272,4.25,0.77
OXA-651,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005867,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6364,98.54,Acinetobacter johnsonii (chromosome),13,ARO:3005867|ID:4972|Name:OXA-651|NCBI:NG_059326.1,66.06,2.08,Acinetobacter johnsonii (chromosome): 10; ,6755272,5.02,0.8
OXA-656,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005871,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3005871|ID:4976|Name:OXA-656|NCBI:NG_062253.1,50.69,0.98,,6755272,2.32,0.38
OXA-662,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005877,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3005877|ID:4982|Name:OXA-662|NCBI:NG_061398.1,64.48,1.1,Acinetobacter johnsonii (chromosome): 5; ,6755272,2.32,0.42
OXA-666,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005878,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3005878|ID:4983|Name:OXA-666|NCBI:NG_062232.1,10.64,0.43,,6755272,1.54,0.17
OXA-724,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3004837,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3004837|ID:3633|Name:OXA-724|NCBI:AJ276031.1,22.64,0.59,Aeromonas veronii (chromosome): 3; ,6755272,1.16,0.23
OXA-726,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005931,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,21.1321,98.21,Aeromonas (chromosome),5,ARO:3005931|ID:5036|Name:OXA-726|NCBI:NG_062247.1,42.89,0.57,Aeromonas veronii (chromosome): 2; ,6755272,1.93,0.22
OXA-780,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005983,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.6415,100,,3,ARO:3005983|ID:5088|Name:OXA-780|NCBI:NG_063881.1,43.27,0.46,,6755272,1.16,0.18
OXA-838,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3005316,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3005316|ID:4048|Name:OXA-838|NCBI:MN339504.1,35.63,0.36,,6755272,1.16,0.14
OXA-912,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3006099,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3006099|ID:5204|Name:OXA-912|NCBI:NG_068183.1,67.92,0.76,Aeromonas veronii (chromosome): 4; ,6755272,2.32,0.29
OXA-917,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3006103,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,38.4906,100,,36,ARO:3006103|ID:5208|Name:OXA-917|NCBI:NG_070181.1,100,4.98,,6755272,13.9,1.92
OXA-928,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3006113,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,37.7863,100,Unknown taxonomy (chromosome or plasmid),,,,,,6755272,0,0
OXA-96,Influent_WWTP_2_10_24_MH4_S337,wet,OXA beta-lactamase,ARO:3001631,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,56.5836,100,Unknown taxonomy (chromosome or plasmid),8,ARO:3001631|ID:605|Name:OXA-96|NCBI:DQ519090.1,74.73,1.4,,6755272,3.09,0.54
OpmH,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003682,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,21,ARO:3003682|ID:2195|Name:OpmH|NCBI:AE004091.2,67.29,0.54,,6755272,8.11,0.21
OprJ,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000802,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic; aminoglycoside antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,4,ARO:3000802|ID:704|Name:OprJ|NCBI:U57969.1,17.71,0.05,,6755272,1.54,0.02
OprN,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000805,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,0,,,,,3,ARO:3000805|ID:172|Name:OprN|NCBI:AE004091.2,15.01,0.11,,6755272,1.16,0.04
PAU-1,Influent_WWTP_2_10_24_MH4_S337,wet,PAU beta-lactamase,ARO:3006964,carbapenem; cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.7211,100,,,,,,,6755272,0,0
Pseudomonas aeruginosa CpxR,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,diaminopyrimidine antibiotic; aminoglycoside antibiotic; peptide antibiotic; fluoroquinolone antibiotic; phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; sulfonamide antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,22,ARO:3004054|ID:2685|Name:Pseudomonas_aeruginosa_CpxR|NCBI:LT673656.1,77.88,0.77,,6755272,8.49,0.3
QnrB5,Influent_WWTP_2_10_24_MH4_S337,wet,quinolone resistance protein (qnr),ARO:3002719,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,3,ARO:3002719|ID:1809|Name:QnrB5|NCBI:DQ303919.1,52.57,0.66,,6755272,1.16,0.25
QnrB59,Influent_WWTP_2_10_24_MH4_S337,wet,quinolone resistance protein (qnr),ARO:3002772,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,1,ARO:3002772|ID:539|Name:QnrB59|NCBI:JX259320.1,21,0.21,,6755272,0.39,0.08
QnrS2,Influent_WWTP_2_10_24_MH4_S337,wet,quinolone resistance protein (qnr),ARO:3002791,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target protection,protein homolog,1,Nudged,65.2968,99.3,Unknown taxonomy (chromosome or plasmid),12,ARO:3002791|ID:1832|Name:QnrS2|NCBI:DQ485530.1,94.67,2.75,,6755272,4.63,1.06
RSA-2,Influent_WWTP_2_10_24_MH4_S337,wet,RSA beta-lactamase,ARO:3004445,carbapenem; cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.8169,100,,,,,,,6755272,0,0
RlmA(II),Influent_WWTP_2_10_24_MH4_S337,wet,non-erm 23S ribosomal RNA methyltransferase (G748),ARO:3001301,macrolide antibiotic; lincosamide antibiotic,lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.8269,100,,,,,,,6755272,0,0
Rm3,Influent_WWTP_2_10_24_MH4_S337,wet,Rm3 family beta-lactamase,ARO:3003894,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3003894|ID:2375|Name:Rm3|NCBI:KF485393.2,24.75,0.17,,6755272,1.54,0.07
SGM-6,Influent_WWTP_2_10_24_MH4_S337,wet,SGM beta-lactamase,ARO:3006992,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,ARO:3006992|ID:5649|Name:SGM-6|NCBI:NG_049988.1,15.39,0.15,,6755272,0.39,0.06
SGM-7,Influent_WWTP_2_10_24_MH4_S337,wet,SGM beta-lactamase,ARO:3006993,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3006993|ID:5650|Name:SGM-7|NCBI:NG_050614.1,27.12,0.15,,6755272,1.54,0.06
SHV-152,Influent_WWTP_2_10_24_MH4_S337,wet,SHV beta-lactamase,ARO:3001191,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.4476,100,,,,,,,6755272,0,0
Salmonella enterica cmlA,Influent_WWTP_2_10_24_MH4_S337,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002691,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.2788,100,,,,,,,6755272,0,0
Streptomyces rimosus otr(A),Influent_WWTP_2_10_24_MH4_S337,wet,tetracycline-resistant ribosomal protection protein,ARO:3002891,tetracycline antibiotic,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Nudged,1.2048,100,,,,,,,6755272,0,0
TEM-87,Influent_WWTP_2_10_24_MH4_S337,wet,TEM beta-lactamase,ARO:3000954,monobactam; cephalosporin; penam; penem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.0906,100,,,,,,,6755272,0,0
TER-1,Influent_WWTP_2_10_24_MH4_S337,wet,TER beta-lactamase,ARO:3007001,carbapenem; cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.807,100,,,,,,,6755272,0,0
TriC,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003681,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,28,ARO:3003681|ID:2194|Name:TriC|NCBI:AE004091.2,51.8,0.45,,6755272,10.81,0.17
VatI,Influent_WWTP_2_10_24_MH4_S337,wet,streptogramin vat acetyltransferase,ARO:3003987,streptogramin antibiotic; streptogramin A antibiotic,streptogramin antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.3175,100,,,,,,,6755272,0,0
aadA10,Influent_WWTP_2_10_24_MH4_S337,wet,ANT(3''),ARO:3004692,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,46.0432,99.22,Unknown taxonomy (chromosome or plasmid),3,ARO:3004692|ID:3398|Name:aadA10|NCBI:U37105.2,41.73,0.36,,6755272,1.16,0.14
aadA16,Influent_WWTP_2_10_24_MH4_S337,wet,ANT(3''),ARO:3002616,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,ARO:3002616|ID:1762|Name:aadA16|NCBI:EU675686.2,39.36,0.59,,6755272,1.93,0.23
aadA27,Influent_WWTP_2_10_24_MH4_S337,wet,ANT(3''),ARO:3004682,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,31.1787,97.56,Acinetobacter johnsonii (no genomic info),18,ARO:3004682|ID:3381|Name:aadA27|NCBI:LN873256.1,83.4,3,,6755272,6.95,1.16
aadA8b,Influent_WWTP_2_10_24_MH4_S337,wet,ANT(3''),ARO:3004704,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3004704|ID:3399|Name:aadA8b|NCBI:AM040708.1,54.8,0.94,,6755272,2.32,0.36
aadS,Influent_WWTP_2_10_24_MH4_S337,wet,ANT(6),ARO:3004683,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,32.2917,100,Unknown taxonomy (chromosome or plasmid),10,ARO:3004683|ID:3382|Name:aadS|NCBI:M72415.1,53.24,1.34,,6755272,3.86,0.52
abeM,Influent_WWTP_2_10_24_MH4_S337,wet,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000753,fluoroquinolone antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,17,ARO:3000753|ID:1368|Name:abeM|NCBI:AB204810.2,35.04,0.18,,6755272,6.56,0.07
acrB,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000216,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,14,ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3,39.52,0.06,Klebsiella pneumoniae (chromosome): 2; Aeromonas hydrophila (chromosome): 2; Serratia liquefaciens (chromosome): 1; Aeromonas (chromosome): 1; ,6755272,5.41,0.02
acrD,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000491,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Nudged,7.8998,95.12,Klebsiella (chromosome),,,,,,6755272,0,0
adeI,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000780,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,rifamycin antibiotic; diaminopyrimidine antibiotic; lincosamide antibiotic; fluoroquinolone antibiotic; phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,18,ARO:3000780|ID:1471|Name:adeI|NCBI:CP001182.2,27.98,0.08,,6755272,6.95,0.03
adeJ,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000781,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,rifamycin antibiotic; diaminopyrimidine antibiotic; lincosamide antibiotic; fluoroquinolone antibiotic; phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,216,ARO:3000781|ID:630|Name:adeJ|NCBI:AY769962.1,71.42,4.59,Acinetobacter johnsonii (chromosome): 1; ,6755272,83.4,1.77
adeK,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000782,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,rifamycin antibiotic; diaminopyrimidine antibiotic; lincosamide antibiotic; fluoroquinolone antibiotic; phenicol antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,55,ARO:3000782|ID:1664|Name:adeK|NCBI:AY769962.1,54.64,1.63,,6755272,21.24,0.63
armA,Influent_WWTP_2_10_24_MH4_S337,wet,16S rRNA methyltransferase (G1405),ARO:3000858,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.7132,100,,,,,,,6755272,0,0
arnA,Influent_WWTP_2_10_24_MH4_S337,wet,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,6,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,27.35,0.15,,6755272,2.32,0.06
carA,Influent_WWTP_2_10_24_MH4_S337,wet,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,ARO:3002817,macrolide antibiotic,macrolide antibiotic,antibiotic target protection,protein homolog,2,Nudged,3.2609,100,,,,,,,6755272,0,0
catB3,Influent_WWTP_2_10_24_MH4_S337,wet,chloramphenicol acetyltransferase (CAT),ARO:3002676,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3002676|ID:150|Name:catB3|NCBI:JX101693.1,41.55,0.62,,6755272,1.16,0.24
ceoB,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003010,fluoroquinolone antibiotic; aminoglycoside antibiotic,aminoglycoside antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,20,ARO:3003010|ID:1252|Name:ceoB|NCBI:U97042.1,36.58,0.1,,6755272,7.72,0.04
cfrA,Influent_WWTP_2_10_24_MH4_S337,wet,Cfr 23S ribosomal RNA methyltransferase,ARO:3003441,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,phenicol antibiotic; pleuromutilin antibiotic; lincosamide antibiotic; oxazolidinone antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.2857,100,,,,,,,6755272,0,0
cfrC,Influent_WWTP_2_10_24_MH4_S337,wet,Cfr 23S ribosomal RNA methyltransferase,ARO:3004146,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic,lincosamide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3004146|ID:2800|Name:cfrC|NCBI:AM412317.1,14.01,0.28,,6755272,0.77,0.11
cmlA5,Influent_WWTP_2_10_24_MH4_S337,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002695,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,10,ARO:3002695|ID:245|Name:cmlA5|NCBI:AY115475.1,68.33,1.07,,6755272,3.86,0.41
cmlA9,Influent_WWTP_2_10_24_MH4_S337,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3005043,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,4,ARO:3005043|ID:3786|Name:cmlA9|NCBI:AY963803.6,33.17,0.5,,6755272,1.54,0.19
cphA3,Influent_WWTP_2_10_24_MH4_S337,wet,CphA beta-lactamase,ARO:3003093,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,19.6078,96,,1,ARO:3003093|ID:1687|Name:cphA3|NCBI:AY112998.1,18.95,0.2,Aeromonas veronii (chromosome): 1; ,6755272,0.39,0.08
cphA6,Influent_WWTP_2_10_24_MH4_S337,wet,CphA beta-lactamase,ARO:3003102,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,ARO:3003102|ID:1949|Name:cphA6|NCBI:AY227052.1,41.31,0.2,Aeromonas veronii (chromosome): 1; ,6755272,1.54,0.08
cphA8,Influent_WWTP_2_10_24_MH4_S337,wet,CphA beta-lactamase,ARO:3003104,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.7451,100,,,,,,,6755272,0,0
dfrA15,Influent_WWTP_2_10_24_MH4_S337,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3003013,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,ARO:3003013|ID:2051|Name:dfrA15|NCBI:KF534911.1,41.56,0.42,,6755272,0.77,0.16
dfrA8,Influent_WWTP_2_10_24_MH4_S337,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002863,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Nudged,3.5294,100,,,,,,,6755272,0,0
dfrE,Influent_WWTP_2_10_24_MH4_S337,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002875,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Nudged,3.6364,100,,,,,,,6755272,0,0
dfrF,Influent_WWTP_2_10_24_MH4_S337,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3002867,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,1,ARO:3002867|ID:5|Name:dfrF|NCBI:AF028812.1,19.6,0.2,,6755272,0.39,0.08
eptA,Influent_WWTP_2_10_24_MH4_S337,wet,pmr phosphoethanolamine transferase,ARO:3003576,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3003576|ID:516|Name:eptA|NCBI:AP009048.1,7.6,0.15,,6755272,0.77,0.06
eptB,Influent_WWTP_2_10_24_MH4_S337,wet,pmr phosphoethanolamine transferase,ARO:3005047,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3005047|ID:3791|Name:eptB|NCBI:FO203501.1,8.75,0.18,,6755272,0.77,0.07
floR,Influent_WWTP_2_10_24_MH4_S337,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3002705,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,2,ARO:3002705|ID:522|Name:floR|NCBI:AF231986.2,9.05,0.18,,6755272,0.77,0.07
imiH,Influent_WWTP_2_10_24_MH4_S337,wet,CphA beta-lactamase,ARO:3003094,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,Aeromonas veronii (chromosome),2,ARO:3003094|ID:232|Name:imiH|NCBI:AJ548797.1,22.75,0.39,Aeromonas hydrophila (chromosome): 2;  Enterobacter cloacae (chromosome): 1;  Aeromonas hydrophila (chromosome): 1; ,6755272,0.77,0.15
imiS,Influent_WWTP_2_10_24_MH4_S337,wet,CphA beta-lactamase,ARO:3003095,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3,ARO:3003095|ID:278|Name:imiS|NCBI:Y10415.1,34.64,0.39,Aeromonas hydrophila (chromosome): 2; ,6755272,1.16,0.15
lsaC,Influent_WWTP_2_10_24_MH4_S337,wet,lsa-type ABC-F protein,ARO:3003112,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection,protein homolog,0,,,,,1,ARO:3003112|ID:1748|Name:lsaC|NCBI:HM990671.1,7.1,0.07,,6755272,0.39,0.03
lsaD,Influent_WWTP_2_10_24_MH4_S337,wet,lsa-type ABC-F protein,ARO:3005121,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; pleuromutilin antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Nudged,1.4056,100,,,,,,,6755272,0,0
mdtC,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000794,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,9,ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096.1,19.14,0.05,,6755272,3.48,0.02
mdtF,Influent_WWTP_2_10_24_MH4_S337,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000796,macrolide antibiotic; fluoroquinolone antibiotic; penam,macrolide antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,5,ARO:3000796|ID:121|Name:mdtF|NCBI:U00096.1,15.03,0.1,,6755272,1.93,0.04
mdtM,Influent_WWTP_2_10_24_MH4_S337,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001214,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,nucleoside antibiotic; disinfecting agents and antiseptics; phenicol antibiotic; lincosamide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.7032,100,,,,,,,6755272,0,0
